Country,Manufacturing Site,Brand,Item Description,Product Group,Sub Classification,Molecule/Test Type,Dosage Form,Dosage,Managed By,Fulfill Via,Shipment Mode,Line Item Quantity,Pack_Price,First Line Designation,Weight,Freight_Cost,Freight_cost_special,Line Item Insurance (USD),item_value,Shipment_Price
1083,2,5,1,1728,1567,5,1575,2,10265,0,6327,2.995732274,3.401197382,1,2.63905733,6.661010394,6198,5.485284888,3.752740475,1571.46
688,3172,7285,1,8550,1955,877,214,672,10265,0,6327,6.908754779,1.974081026,1,5.883322388,8.416820217,6198,5.485284888,2.006886659,10961.62
1083,2,799,577,1728,1567,577,1575,1108,10265,0,6327,6.216606101,4.394449155,1,5.147494477,7.411423348,6198,5.485284888,4.400360479,41893.9
688,2,7285,378,8550,6595,592,3532,526,10265,0,6327,10.37101938,1.60743591,1,7.526178913,9.680847624,6198,5.485284888,1.608942286,143607.98
688,3172,7285,1,8550,6595,5,729,2,10265,0,6327,10.54536775,1.435084525,1,8.934718614,10.72439186,6198,5.485284888,1.436587891,167290.2
1194,3172,7285,1,8550,1955,529,727,672,10265,0,6327,6.033086222,1.848454813,1,6.224558429,8.686331564,6198,5.485284888,1.935456533,8386.14
683,2,5,1,8550,1955,1125,729,1108,10265,0,6327,4.912654886,3.5085559,1,5.796057751,9.31508183,1442,5.485284888,3.560439338,15717.35
155,3172,7285,623,8550,6595,877,3532,1108,10265,0,6327,9.721245993,1.53686722,1,7.299121463,8.734465139,6198,5.485284888,1.53996066,67287.08
1194,3172,7285,1,8550,6595,5,729,2,10265,0,6327,5.613128106,1.08180517,0,8.138985591,9.31508183,2445,5.485284888,1.342747758,11875.7
683,2,250,1,8550,6595,633,3532,473,10265,0,6327,7.937731775,3.740047741,1,6.467698726,9.31508183,1442,5.485284888,3.742082636,126423.35
683,366,250,1,8550,6595,633,3532,473,10265,0,6327,7.937731775,3.740047741,1,6.467698726,9.31508183,1442,5.485284888,3.742082636,126423.35
683,405,373,369,1728,1567,37,1575,725,10265,0,6327,7.824445931,3.713572067,1,6.749931194,9.515652861,6198,5.485284888,3.715911938,113809.61
1194,2,5,1,1728,1567,5,1575,935,10265,0,6327,2.397895273,4.454347296,1,8.138985591,9.31508183,239,5.485284888,4.700587293,12193.35
80,665,7285,597,8550,6595,689,2749,725,10265,0,6327,9.210440367,2.396075436,1,8.911529942,11.06945346,6198,5.485284888,2.398259912,164219.54
655,2,799,577,1728,1567,577,1575,2,10265,0,6327,6.621405652,4.394449155,1,5.549076085,7.473818807,6198,5.485284888,4.398393917,62000.44
538,2,16,1,8550,1955,5,3532,1108,10265,0,6327,6.363028104,3.277144733,1,8.138985591,9.31508183,1442,5.485284888,3.292673012,26107.85
1194,2,799,577,1728,1567,577,1575,2,10265,0,2936,7.313886832,4.394449155,1,8.138985591,9.31508183,1442,5.262690189,4.396028154,131295.23
80,2,5,1,1728,1567,5,1575,2,10265,0,6327,7.601402335,2.862200881,1,6.56667243,8.046133004,6198,5.485284888,2.869037958,36360.82
155,2,16,1,8550,1955,5,121,2,10265,0,6327,6.56948142,2.609334228,1,5.093750201,6.817786807,6198,5.485284888,2.633846912,10117.16
1194,2,799,577,1728,1567,577,1575,2,10265,0,6327,6.908754779,4.394449155,1,5.834810737,7.894866012,6198,4.859812404,4.396028154,82810.47
1194,2,115,1,1728,1567,5,1575,1108,10265,0,6327,8.922791624,3.33220451,1,7.731492029,9.673741628,6198,5.485284888,3.333347274,218633.83
1083,2,16,1,8550,1955,5,3532,1108,10265,0,6327,8.615045592,3.277144733,1,7.662467815,9.31508183,1442,5.420225217,3.278683169,151909.66
688,3172,7285,1,8550,1955,877,214,672,10265,0,6327,6.908754779,1.071583616,1,6.848005275,8.341527038,6198,1.403642999,1.072634434,6116.56
